"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"Z1","=~","x1","",1,0,NA,NA,1,1
"Z1","=~","x4","",6.29657577018949,13.148936879967,0.478865768971984,0.632034124494935,-16.9833183057138,27.3048673385636
"Z1","=~","x5","",5.16552528376891,10.3215837352467,0.500458593978112,0.616752204404102,-11.2172601084779,28.5793348408544
"Z1","=~","x6","",18.2248810352551,7.17077376815995,2.5415501345445,0.011036211743839,2.43635375152059,34.6849616507228
"Z1","=~","x7","",7.09867979550231,8.80649627595784,0.806073104792203,0.420200698239317,-5.39369439757759,19.8908267679775
"Z1","=~","x9","",6.2099754151097,7.50960639265011,0.826937537124129,0.408272466102814,-9.05302003201599,22.2806818958526
"Z1","=~","x10","",-6.75334424730134,4.44941449707365,-1.51780515205831,0.129063525921438,-13.9859126682953,2.29621766745082
"Z2","=~","x11","",1,0,NA,NA,1,1
"Z2","=~","x12","",-0.00793543105616074,0.538987015012222,-0.0147228612844797,0.988253280666795,-0.968141728858989,1.12768425355787
"Z2","=~","x13","",-0.00767218611179017,0.610362876240579,-0.0125698767248847,0.989970953531949,-1.49450263398093,1.05876711255817
"Z3","=~","Z3","",0,0,NA,NA,0,0
"Z4","=~","x16","",1,0,NA,NA,1,1
"M1","~","Z1","a1",-91.3842335353596,0.0632118605230193,-1445.68175622803,0,-91.4696389139258,-91.320893991653
"M1","~","Z2","a2",17.3482118849268,5.89663789257573,2.94205141997432,0.00326045782962159,5.96477495940308,32.315130240644
"M1","~","Z3","a3",0,0,NA,NA,0,0
"M1","~","Z4","a4",5.44226299750075,3.00536466712169,1.81084946430575,0.0701641570593139,0.230097603762393,11.8028668154391
"M2","~","Z1","b1",57.9584236976207,0.544563676595336,106.430939463282,0,56.8883988383699,58.5999366941769
"M2","~","Z2","b2",1.98950330129332,13.6662367107242,0.145577992201183,0.884254542551602,-1.40606957831809,9.94070381744804
"M2","~","Z3","b3",0,0,NA,NA,0,0
"M2","~","Z4","b4",0.0595996921635399,4.11712299000282,0.0144760533771422,0.98845018389954,-1.10080690889994,3.56174117717324
"M3","~","Z1","d1",30.2297987344329,1.35916765978758,22.2414052576542,0,27.2683249026661,31.8793136332348
