"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"x5","~~","x5","",0.366006080006387,0.0652728508829752,5.60732486868979,2.05477757031503e-08,0.209931545850503,0.463095008097104
"x6","~~","x6","",0.259073069811448,0.0602067209973336,4.30305895288536,1.68456003271089e-05,0.129494950258209,0.36285817529925
"x7","~~","x7","",0.146250107578987,0.0546912948933391,2.67410211925333,0.00749296309795833,0.0315634503623219,0.243236671592274
"x9","~~","x9","",0.483132488247082,0.0894832349844834,5.39913971964534,6.69612107984108e-08,0.307338283757361,0.66434357566484
"x10","~~","x10","",0.102397857921738,0.0263259475297828,3.88961718494252,0.000100402477452466,0.045997993343726,0.155362022167843
"x11","~~","x11","",0.213052577300545,0.0333514206176643,6.38811101161021,1.67947433737936e-10,0.144930628265367,0.273545355786478
"x12","~~","x12","",0.527272310393071,0.079710622929145,6.6148311356413,3.7197578350856e-11,0.366180740778606,0.668614483838929
"x13","~~","x13","",0.420904607163114,0.0656549846465517,6.41085531325642,1.44705580851223e-10,0.292698818330754,0.535141533523145
"x16","~~","x16","",0,0,NA,NA,0,0
"M1","~~","M1","",0.39633157178854,0.346596267308617,1.14349636499587,0.252832563079418,-0.110775613581465,1.27851367847691
"M2","~~","M2","",-0.0649147565082508,0.339633757349477,-0.19113163842973,0.848422460657128,-1.27950800044934,-0.00299809744911193
"M3","~~","M3","",0.316392450544107,0.233463645576106,1.35521078565942,0.17535040929873,-0.284870069710302,0.758433639619062
"M4","~~","M4","",0.0987391932404837,0.0197925897252912,4.98869499196022,6.07885342507331e-07,0.0584183972955012,0.138544797730039
"M5","~~","M5","",1.93711761667463,1.59146111151176,1.21719444016733,0.223530245066392,0.142625765749788,5.0931448755325
"Y","~~","Y","",0.832312881666522,1.01377716436138,0.821001804859976,0.411645240158742,-0.144786976877865,3.59311588810083
"Z1","~~","Z1","",0.000184831066571239,0.000215697699226455,0.8568986467361,0.391500900750392,2.52292321857287e-05,0.000837106336692932
"Z2","~~","Z2","",0.0401921646539746,0.0307984711303234,1.30500518950768,0.191891080702448,0.00139109602719764,0.120065499639387
"Z3","~~","Z3","",0.05,0,NA,NA,0.05,0.05
"Z4","~~","Z4","",0.234882979400109,0.0159494950952074,14.7266717847819,0,0.193493253109156,0.249929922117093
"Z1","~~","Z2","",-0.00132577563134428,0.00217785300484931,-0.608753496398628,0.542687841940434,-0.00618468841893316,0.00354187392147972
"Z1","~~","Z4","",0.00219044891516858,0.00310294547242215,0.705925687266017,0.480234352210385,-0.00735872076793249,0.00623293965866218
"Z2","~~","Z4","",-0.0533605041986987,0.0311514621627526,-1.71293738701297,0.0867240591990135,-0.118732734367497,0.00405969320038464
"indirect_alpha_Z1",":=","a1*m1","indirect_alpha_Z1",-66.0627101368001,73.7253176843,-0.896065452300768,0.370217807131265,-263.064602250129,26.1897440000391
"indirect_alpha_Z2",":=","a2*m1","indirect_alpha_Z2",-0.894227280394349,9.46040169048356,-0.094523183015989,0.924693567505104,-27.9566455546038,13.8349701184944
"indirect_alpha_Z3",":=","a3*m1","indirect_alpha_Z3",0,0,NA,NA,0,0
"indirect_alpha_Z4",":=","a4*m1","indirect_alpha_Z4",0.0574660966063738,3.35569317053986,0.0171249556159894,0.986336930127491,-9.01081173608038,4.57839070136207
"indirect_beta_Z1",":=","b1*m2","indirect_beta_Z1",135.711695832988,108.262811339421,1.25353936549376,0.210009482151456,6.61122327482333,426.226391454156
"indirect_beta_Z2",":=","b2*m2","indirect_beta_Z2",16.7400650478939,117.533832976553,0.142427628062069,0.88674224079723,-1.89894079523626,402.636437685085
"indirect_beta_Z3",":=","b3*m2","indirect_beta_Z3",0,0,NA,NA,0,0
