"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"Z1","=~","x1","",1,0,NA,NA,1,1
"Z1","=~","x2","",-0.208366349079793,1.59553179475136,-0.130593667744655,0.896096752233473,-5.39080774079304,0.563360337882333
"Z1","=~","x3","",-0.156078602699181,1.50901254706737,-0.103430950923838,0.917620948585766,-2.96279157841762,1.85930320671578
"Z1","=~","x4","",6.85202047152985,8.37172422632354,0.818471832837587,0.413087819294609,-1.38209335751597,31.3190376092341
"Z1","=~","x5","",9.63537403092806,7.11616202771956,1.3540127379612,0.175732313875142,0.703917474029469,28.1008963399158
"Z1","=~","x6","",3.7961224949028,7.54226754338084,0.503313157889011,0.614744116931728,-8.14579423352761,22.7600406051276
"Z1","=~","x7","",6.31543503748173,6.9064247529687,0.914428993781054,0.360491472658093,-4.51509029375258,20.9254032864556
"Z1","=~","x9","",-0.265854530391618,6.463261361266,-0.0411331857914443,0.96718971854681,-8.69171631245425,17.3954884242137
"Z1","=~","x10","",0.185124029448729,7.37897262531394,0.0250880493598324,0.979984732412816,-16.0578664777878,15.510196740659
"Z2","=~","x11","",1,0,NA,NA,1,1
"Z2","=~","x12","",0.777312937380251,2.48165155953744,0.313224044041516,0.754110452361943,-1.93469115756724,4.14736420087548
"Z2","=~","x13","",0.515897014565102,3.75289907372752,0.137466263928247,0.890662257042007,-0.636255926320501,4.19909252333986
"Z3","=~","x14","",1,0,NA,NA,1,1
"Z4","=~","x16","",1,0,NA,NA,1,1
"M1","~","Z1","a1",34.0371099825808,0.516919491953653,65.8460563248261,0,32.4365760578033,34.4095467840028
"M1","~","Z2","a2",-4.62870964988455,9.79829617901538,-0.472399442241568,0.636641702406146,-32.7536171658014,2.51529627706018
"M1","~","Z3","a3",-1.45086279559782,3.97250191351508,-0.365226456068342,0.714942371248739,-11.7651499131781,6.81457279875825
"M1","~","Z4","a4",-1.91216036500361,2.48125999890839,-0.770640870301723,0.440919828953836,-8.58157584226764,1.22838082241382
"M2","~","Z1","b1",4.65201191614033,13.4470209504347,0.345951116852388,0.729379452008968,-10.2826650728969,48.0140889250047
"M2","~","Z2","b2",0.728866338287643,4.9019800723818,0.148688147957627,0.881799713833361,-2.56099054068371,7.02430434602413
"M2","~","Z3","b3",-0.188673886272522,1.52807178607533,-0.123471873502166,0.901733445536312,-3.76632597451249,1.23220315005297
"M2","~","Z4","b4",-0.226774406896157,1.34345654079004,-0.168799213082694,0.86595457731262,-4.17952880050672,1.21522094781229
"M3","~","Z1","d1",16.6846649213955,2.43383439299384,6.85530000291918,7.11630754324233e-12,11.0653152193784,21.6121044862342
"M3","~","Z2","d2",-2.04386797737513,6.30857594570402,-0.323982463707512,0.745951310737843,-19.8723338512679,2.85431095545612
"M3","~","Z3","d3",-0.311203049191637,2.39564544616909,-0.129903633982769,0.896642669151287,-5.39934370303649,3.91802752105618
"M3","~","Z4","d4",-1.01530052316351,1.45409210797508,-0.69823673314436,0.485029157759469,-4.92503692421554,0.573194662862074
"M4","~","Z1","l1",2.96004972103986,9.44342664410211,0.313450808969703,0.753938187636285,-6.46990493157743,27.8170710458596
