"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"M3","~","Z4","d4",2.44851319445066,1.45629430064154,1.68133130327572,0.0926985808459664,0.347570667557951,6.30684597183148
"M4","~","Z1","l1",-2.37741285719837,15.6553877184798,-0.15185908518842,0.879298079232549,-23.2973827167408,29.5620194045579
"M4","~","Z2","l2",0.0477322376100197,0.484176023132585,0.0985844720298115,0.921468199480096,-0.732117253647061,1.09585441811131
"M4","~","Z3","l3",0,0,NA,NA,0,0
"M4","~","Z4","l4",0.0461546878549082,0.147287304989503,0.313365010366626,0.754003364145335,-0.232919228086097,0.297414781790904
"M5","~","Z1","k1",-12.4092995359643,10.5438877844856,-1.17691877887998,0.239227925985057,-22.4765901579114,15.3750620570169
"M5","~","Z2","k2",-0.997326456934136,1.1945589418764,-0.834890955960316,0.403779107379687,-3.64444881265566,1.3912324978813
"M5","~","Z3","k3",0,0,NA,NA,0,0
"M5","~","Z4","k4",0.0375196408775107,0.339467462859506,0.110524998659559,0.911993025255392,-0.540467584349789,0.796926688535697
"Y","~","M1","m1",-0.447325401901364,0.478116966644594,-0.935598259649046,0.349480070963809,-1.49442791503845,0.533406093369461
"Y","~","M2","m2",2.75113985329748,2.27545026553317,1.20905294875906,0.226642503925804,-1.70119276898712,7.53660705515581
"Y","~","M3","m3",-0.813565493110335,0.891388808962193,-0.912694309072082,0.361403337822473,-2.68247389425981,0.88012810680811
"Y","~","M4","m4",-0.189589788949905,0.363906346081646,-0.520985113316405,0.602377141805798,-1.03997614465187,0.430529638508464
"Y","~","M5","m5",0.269193405241827,0.336385244302712,0.800253310158817,0.423564048411569,0.187232795018993,1.19002666457666
"Y","~","Z1","c1",20.1870158699651,7.35831050020905,2.74343082823042,0.00608008564047102,6.89841802840823,40.8808358235289
"Y","~","Z2","c2",-3.57284331928418,6.2750608389032,-0.569371901087204,0.569103781557367,-20.2590413325469,3.6537974684461
"Y","~","Z3","c3",0,0,NA,NA,0,0
"Y","~","Z4","c4",-1.07267528924951,1.23201641237501,-0.870666395735481,0.383936331935637,-4.11995652399978,0.368986326416924
"x1","~~","x1","",0.0163055462503737,0.0121872416812284,1.33791933210684,0.180922734483449,0.0161094959716498,0.0607324673362865
"x4","~~","x4","",0.242606551135795,0.108837688946028,2.22906746261493,0.0258094164286011,0.0184678170311408,0.441165935398461
"x5","~~","x5","",0.331185043987964,0.0560181533224306,5.91210213735039,3.3776896835036e-09,0.219617819594344,0.424163806290757
"x6","~~","x6","",0.247423011980978,0.0694671107237631,3.56172884409803,0.000368420782417056,0.110936822916774,0.388187987165492
"x7","~~","x7","",0.0527304668042415,0.0299384642863837,1.7612949782539,0.078188489572018,-0.0178206815948228,0.108540140555822
"x9","~~","x9","",0.506537827417028,0.0884136395962591,5.72918194217694,1.00916111023253e-08,0.323104841971336,0.675870447106228
"x10","~~","x10","",0.112863228528417,0.0303732299046238,3.71587838642198,0.000202498970083065,0.0464502536843367,0.167692112083223
"x11","~~","x11","",0.242964446588467,0.0311172986537555,7.80801859737089,5.77315972805081e-15,0.177432506860518,0.301691106012257
"x12","~~","x12","",0.541543394817639,0.0812431690346708,6.66570988370153,2.63389310362072e-11,0.377314518635491,0.701037404815321
"x13","~~","x13","",0.421003583320313,0.0607176714378077,6.93379000463713,4.09716705007668e-12,0.281850921413684,0.53560311764708
"x16","~~","x16","",0,0,NA,NA,0,0
"M1","~~","M1","",1.19119604865464,0.145760841339602,8.17226381041066,2.22044604925031e-16,0.876712815448954,1.43725371669911
"M2","~~","M2","",-1.83499640480337,0.944272690443974,-1.94329077116548,0.051981035946336,-4.30088129507073,-0.649629682811852
"M3","~~","M3","",0.818428010436526,0.138077603720752,5.92730456194557,3.07947511934969e-09,0.502749693866671,1.05540217869691
"M4","~~","M4","",0.100139814950483,0.0198745052219737,5.03860668892358,4.68933001096516e-07,0.0614747074633426,0.136751748530857
"M5","~~","M5","",1.99534558096812,1.64341133927564,1.21414860253283,0.224690983237013,0.149152118988726,5.40440840525154
"Y","~~","Y","",0.527610348141855,0.457113571241414,1.15422157935278,0.248409337660377,0.185209866912421,1.89356828150363
"Z1","~~","Z1","",0.000111544351038876,7.46094210080651e-05,1.49504378310104,0.134903015915133,2.35831564784787e-06,0.000295226751307647
"Z2","~~","Z2","",0.0121569158700365,0.013908789588278,0.874045566142006,0.38209343953839,0.000695036279620486,0.0513323603291227
"Z3","~~","Z3","",0.05,0,NA,NA,0.05,0.05
"Z4","~~","Z4","",0.234879341658064,0.0157417553956744,14.9207846110101,0,0.193495616797763,0.249939389705759
"Z1","~~","Z2","",-0.000283560814435901,0.000205383695750362,-1.38063936087975,0.167389874639023,-0.000727969539541238,3.18826203446268e-05
"Z1","~~","Z4","",0.00147365894550723,0.000682135494045505,2.16036104024946,0.0307447309977795,0.000185689026872843,0.0029315391885486
"Z2","~~","Z4","",-0.0522064754432385,0.026879069814531,-1.94227240017865,0.0521041323945961,-0.110926011540353,-0.00274858780451798
"indirect_alpha_Z1",":=","a1*m1","indirect_alpha_Z1",-6.86996677272114,10.1026833292847,-0.680014066441846,0.496495554278288,-28.2962697495046,11.0510331878689
"indirect_alpha_Z2",":=","a2*m1","indirect_alpha_Z2",-3.8408566297373,7.5299353682117,-0.510078299735722,0.609996607367311,-25.4521801726477,4.95975789175811
"indirect_alpha_Z3",":=","a3*m1","indirect_alpha_Z3",0,0,NA,NA,0,0
"indirect_alpha_Z4",":=","a4*m1","indirect_alpha_Z4",-0.995811902681501,1.7526295061271,-0.568181637476829,0.569911638655134,-6.00961635600515,1.4063431157908
"indirect_beta_Z1",":=","b1*m2","indirect_beta_Z1",-70.7872325777827,59.2481478433349,-1.19475857312805,0.232181370279722,-195.303668194622,44.5550455078949
"indirect_beta_Z2",":=","b2*m2","indirect_beta_Z2",171.233369410343,142.111322235196,1.20492418701833,0.22823257038197,-106.032924855969,468.734111838066
