"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"Z1","=~","x1","",1,0,NA,NA,1,1
"Z1","=~","x4","",4.85554046837558,9.50384811437126,0.510902574403864,0.609419278426147,-2.0377054468037,38.8819853532032
"Z1","=~","x5","",6.06502355442374,2.77572165674978,2.18502584352263,0.0288869517630088,1.28826604940921,11.2957090513974
"Z1","=~","x6","",7.86754668684153,3.31921039660555,2.37030671357484,0.0177733342805562,2.9598179726719,12.6706043755626
"Z1","=~","x7","",3.48197560406905,5.08045813051279,0.685366459996316,0.493112703205888,-0.485094013084412,20.3262684302487
"Z1","=~","x9","",2.85266127570292,3.13649690106465,0.909505529794916,0.363083340211749,-3.54780730399167,9.44896741317971
"Z1","=~","x10","",1.16079619217269,1.96752689168492,0.589977294378239,0.555205872057125,-2.667580798641,5.15704333896675
"Z2","=~","x11","",1,0,NA,NA,1,1
"Z2","=~","x12","",0.598193372573942,0.355372649670877,1.68328478043527,0.0923199752622972,-0.149780565010965,1.33030742343331
"Z2","=~","x13","",0.0846239637856794,0.35434070359179,0.238820894489075,0.811244467514661,-0.605037476720431,0.804415481377859
"Z3","=~","Z3","",0,0,NA,NA,0,0
"Z4","=~","x16","",1,0,NA,NA,1,1
"M1","~","Z1","a1",-71.6139673732389,0.0716989493870897,-998.814738366778,0,-71.7545255014925,-71.4405538748723
"M1","~","Z2","a2",11.6576659113679,3.35310978712615,3.47667289515126,0.000507676782759647,6.7023791062857,21.7167518491561
"M1","~","Z3","a3",0,0,NA,NA,0,0
"M1","~","Z4","a4",4.37691899730503,1.88279145311341,2.32469665722526,0.0200881861572348,1.17866752432408,9.24167846413345
"M2","~","Z1","b1",80.1304035296812,0.0323962561423242,2473.4464123771,0,80.075945288712,80.2146446271432
"M2","~","Z2","b2",-12.2006415672756,3.07816403797614,-3.9636099365573,7.38248423937105e-05,-20.6652906528172,-7.23287963346089
"M2","~","Z3","b3",0,0,NA,NA,0,0
