"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"Z1","=~","x1","",1,0,NA,NA,1,1
"Z1","=~","x2","",-0.212892331656519,1.16879907895448,-0.182146217848628,0.855467978756738,-4.00145452946674,0.362454660755862
"Z1","=~","x3","",-0.237530657632382,4.50834095674279,-0.0526869329341928,0.957981350573006,-3.28040026087057,1.73898616092638
"Z1","=~","x4","",6.69312217080926,7.23817101262927,0.924697987810871,0.355123026401518,0.596547890070173,32.1722163920433
"Z1","=~","x5","",8.13583104179561,8.07201573869869,1.00790574562324,0.313499713080202,0.987306043941243,32.5340389670523
"Z1","=~","x6","",4.095118991388,5.9219837049317,0.69151135758406,0.489244245774395,-5.3803842421027,19.3833560277943
"Z1","=~","x7","",7.02721361394083,6.98060622088026,1.0066766970641,0.314090163970492,-3.40332883672539,25.3412607886121
"Z1","=~","x9","",-0.689046835112251,6.0167035205413,-0.114522318202952,0.908823755420063,-8.17843895332597,14.5127730852332
"Z1","=~","x10","",-1.39839773631377,5.83927040041177,-0.239481585955526,0.810732173383308,-12.6450951445783,11.9141975295218
"Z2","=~","x11","",1,0,NA,NA,1,1
"Z2","=~","x12","",1.00169932572988,1.44263694359664,0.694353024976985,0.487460845244816,-1.33236381297215,3.65002052051789
"Z2","=~","x13","",0.239394752341078,0.713537824815461,0.335503941088184,0.737244972270378,-0.773304627984166,0.995190404138092
"Z3","=~","x14","",1,0,NA,NA,1,1
"Z4","=~","x16","",1,0,NA,NA,1,1
"M1","~","Z1","a1",38.984661428114,0.383203343713744,101.733614979195,0,37.9546653602084,39.2311002640679
"M1","~","Z2","a2",-5.20240345468041,9.08985458444973,-0.572330767928929,0.567097909014264,-31.387839712642,1.05967070717871
"M1","~","Z3","a3",-2.79479021772856,4.63415360859864,-0.603085364400274,0.546451902203633,-13.9190104688457,3.70895005290989
"M1","~","Z4","a4",-1.87792638728602,2.6538669994523,-0.707618877537412,0.479181966657887,-9.62582212685657,1.80336357563038
"M2","~","Z1","b1",3.74052864738409,10.148954480802,0.368562954387052,0.712453512595889,-8.37062471016024,32.3186844483139
"M2","~","Z2","b2",0.698605560049752,3.39346194957953,0.20586809884116,0.836893945103772,-0.784227000788805,3.59927352720514
"M2","~","Z3","b3",-0.106692864452865,1.40762118611495,-0.0757965747498717,0.939580941241126,-1.67108954179593,1.48705939332422
"M2","~","Z4","b4",-0.22827964764416,1.48900797687885,-0.153309888992444,0.87815390257807,-1.69704930390815,0.574617785487452
"M3","~","Z1","d1",18.3234293360652,2.15710263771226,8.49446336753745,0,13.8518928750712,22.2442234679509
"M3","~","Z2","d2",-2.22116590072853,4.96738609198483,-0.447149840901739,0.654766874677062,-15.3012427331554,1.99740157080803
"M3","~","Z3","d3",-0.883947149067633,2.27253339029939,-0.388969927940719,0.697298392124282,-6.58004352834604,2.05080210509044
"M3","~","Z4","d4",-0.971420606734593,1.29525542776547,-0.749983814706303,0.453264452808466,-4.9270618597934,0.559698831865015
"M4","~","Z1","l1",3.88348987710362,8.03254793989993,0.483469243652221,0.628762592851144,-5.97034709354974,28.4650763382296
"M4","~","Z2","l2",-0.464316834409908,4.09251240258333,-0.113455205197867,0.909669674780551,-3.58405958924624,2.61695608910873
"M4","~","Z3","l3",-0.207499691582849,1.44998253614729,-0.143104959135708,0.886207288432418,-2.44686923167624,0.781772236983425
"M4","~","Z4","l4",-0.473851669199443,0.833162212213861,-0.568738790901636,0.569533418751721,-2.07712561789624,0.0848541056047444
"M5","~","Z1","k1",-1.70953581235378,8.44424451799348,-0.202449823511269,0.839565081168832,-8.79158978493103,12.2195005626296
