"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"Z1","=~","x1","",1,0,NA,NA,1,1
"Z1","=~","x2","",-0.0852913167557222,1.04351182299645,-0.0817348829942411,0.934857538533012,-3.29681915770901,0.391427365670268
"Z1","=~","x3","",-0.0700523021665579,0.951695421642264,-0.0736079007774087,0.941322384285088,-2.68617429944424,1.64535482034212
"Z1","=~","x4","",4.53572932060095,7.87244300123182,0.576152703791089,0.564511970462267,-1.47325273141289,26.3643308178889
"Z1","=~","x5","",5.06508796141584,8.53550593861618,0.593413911002096,0.55290418137464,-0.496484518064112,31.9247559278133
"Z1","=~","x6","",3.27899222333595,5.53245363947422,0.592683181281492,0.553393199226663,-4.62479649304391,19.377927189211
"Z1","=~","x7","",4.4705266142535,6.99815376276626,0.638815145508659,0.522943194309372,-2.8597428112132,28.3433433983826
"Z1","=~","x9","",0.234857068029633,5.40660462623358,0.0434389204067326,0.965351652969578,-5.85695841931059,16.3939264750896
"Z1","=~","x10","",-0.026363990308144,5.37861330568056,-0.0049016333411253,0.996089078095047,-10.5249830512987,13.1017536844299
"Z2","=~","x11","",1,0,NA,NA,1,1
"Z2","=~","x12","",0.808365714335071,8.43844854420197,0.0957955375446943,0.923682961584656,-0.919871832217304,3.10919177636717
"Z2","=~","x13","",0.251348806035402,4.1695361035316,0.0602821992169607,0.951930879127039,-1.95992328241865,1.19192025793991
"Z3","=~","x14","",1,0,NA,NA,1,1
"Z4","=~","x16","",1,0,NA,NA,1,1
"M1","~","Z1","a1",31.0382521094244,0.419984406583463,73.9033440834575,0,29.7868328561339,31.4254230432987
"M1","~","Z2","a2",-6.14497224057581,7.25006090038384,-0.847575258333413,0.396674558169536,-26.7694311509702,0.703382996683257
"M1","~","Z3","a3",-2.98233562587631,4.13211255601459,-0.72174597991899,0.470450667280378,-12.7075292995468,4.64225921681824
"M1","~","Z4","a4",-2.43021537666136,2.98175031747078,-0.815029803945069,0.415055250283576,-10.3877690882721,1.78705636639893
"M2","~","Z1","b1",2.10471698206489,10.8869847255256,0.193324142095119,0.846705120299066,-15.4482981975971,33.8913482537848
"M2","~","Z2","b2",0.672418413842347,3.29818984204686,0.203874987809993,0.838451191396349,-0.603789771034616,4.39731020276203
"M2","~","Z3","b3",-0.105493601370506,1.96145437025569,-0.0537833573751471,0.957107769216949,-1.47207272381329,1.14047050928525
"M2","~","Z4","b4",-0.198063138554565,1.50176784919441,-0.131886655224915,0.89507394400859,-1.75628627357504,0.612878971820961
"M3","~","Z1","d1",12.9515248805387,3.37901921586104,3.83292430529679,0.000126628926649719,6.94359831040903,21.7932728850723
"M3","~","Z2","d2",-2.26486898050938,4.74256038462664,-0.477562497222202,0.632961628698493,-12.4959769237266,2.03337397492324
"M3","~","Z3","d3",-0.821425672586865,1.89349018587304,-0.433815648327813,0.6644223172994,-5.74000793191389,2.51884188968419
"M3","~","Z4","d4",-1.08971297563644,1.46573586693993,-0.743457945060369,0.457204473793682,-4.78767017667306,0.838528102909602
"M4","~","Z1","l1",2.92164034495659,7.71304373846918,0.378792140174801,0.704842224449368,-6.91500152004639,24.6386906172366
"M4","~","Z2","l2",-0.494048859330811,1.84572153881591,-0.267672478724911,0.788951435800772,-3.1835639604388,2.01278207578101
"M4","~","Z3","l3",-0.216482616464986,0.693633856583181,-0.312099264490019,0.754965085489251,-1.73205053597146,0.912335415780819
"M4","~","Z4","l4",-0.512958772957022,0.463126681018223,-1.10759926815108,0.268034919650679,-1.72621803956051,0.101284012591084
"M5","~","Z1","k1",-0.948183401317443,11.2623237206647,-0.084190742943898,0.932904778118948,-8.76089229763442,12.9138779184853
"M5","~","Z2","k2",0.0262237370367633,4.46339720620413,0.00587528642987729,0.995312226636856,-1.48757722503914,1.80073562675073
"M5","~","Z3","k3",0.313056308815061,0.565759441297368,0.553338196349279,0.580031850575345,-0.680612854367295,1.4315755524429
