"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"Z1","=~","x1","",1,0,NA,NA,1,1
"Z1","=~","x2","",-0.224149191633517,1.18462605703079,-0.18921514540659,0.849924197758683,-4.23370269167615,0.253215343880715
"Z1","=~","x3","",-0.168801268387799,1.09795641073564,-0.153741320454335,0.877813703066187,-3.1485289404465,1.30810600200251
"Z1","=~","x4","",5.88055237994709,7.51051845426083,0.782975558313283,0.433641465117676,0.951109305191035,29.068210385088
"Z1","=~","x5","",6.1954583047374,8.03634393776682,0.770929959284325,0.440748448132261,0.528611386490613,30.7757936510419
"Z1","=~","x6","",3.49466118683444,5.68134155926288,0.615111967900739,0.538480778947522,-4.84603494811675,19.175422684373
"Z1","=~","x7","",5.42192264006434,6.9037359530416,0.785360662247748,0.432242138063779,-3.35915260190027,25.5624792712736
"Z1","=~","x9","",0.00536879667615134,6.02244809668184,0.000891464167056808,0.999288714598807,-6.91072271184781,16.2085501555637
"Z1","=~","x10","",-0.0380819171034138,6.34849767142606,-0.00599857148484383,0.995213861128549,-12.1330100053993,12.3836900268683
"Z2","=~","x11","",1,0,NA,NA,1,1
"Z2","=~","x12","",1.0669422308288,6.27181690712444,0.17011692889453,0.864918180234708,-2.07237147061891,5.51783988132504
"Z2","=~","x13","",0.303600104209174,1.01064678707442,0.300401790310959,0.763870698242513,-1.00753350767149,1.2310923096787
"Z3","=~","x14","",1,0,NA,NA,1,1
"Z4","=~","x16","",1,0,NA,NA,1,1
"M1","~","Z1","a1",31.5751857308247,0.510413051855389,61.8620264823686,0,30.0100263114641,31.9961054753659
"M1","~","Z2","a2",-5.47320876573813,10.0728938332091,-0.543360116404049,0.586881880557488,-35.7530731740596,0.876002256364169
"M1","~","Z3","a3",-2.75215944914119,4.62572656886756,-0.594968035435556,0.551864837683565,-14.4404988824026,5.1627339684478
"M1","~","Z4","a4",-2.08938612014779,2.7814926777429,-0.751174409649448,0.452547698917666,-9.41624085153223,1.01148421938226
"M2","~","Z1","b1",3.06638955395377,12.5694620970451,0.243955511403678,0.807265275774206,-9.45754207908757,41.8276677851765
"M2","~","Z2","b2",0.702893983806491,3.86320756923656,0.181945694402694,0.855625343994368,-0.810089882017346,5.01359845246438
"M2","~","Z3","b3",-0.0939928351177896,1.36675036564738,-0.0687710334529663,0.945171875438177,-2.16067796973348,1.40299747678399
"M2","~","Z4","b4",-0.242360712120289,1.42096049939279,-0.170561188874606,0.864568817452225,-1.77392158035714,0.671291333563063
"M3","~","Z1","d1",13.0723530911231,3.55005204228531,3.68229900165291,0.000231140090324766,6.02304330897613,21.7331160714533
"M3","~","Z2","d2",-1.98165783357546,6.20574064943176,-0.319326563180966,0.749478891749406,-16.1584288681122,2.65162560674631
"M3","~","Z3","d3",-0.688531633279895,2.38636390909715,-0.288527508589582,0.772942976588772,-6.16483679348443,2.27278422448874
"M3","~","Z4","d4",-0.943925026477811,1.39289601903119,-0.67767084806111,0.497980414058816,-4.33914504412754,0.426646463222641
"M4","~","Z1","l1",2.97439473873195,9.26668382486957,0.320977255180476,0.74822762740378,-6.78443432453058,29.4602603461486
"M4","~","Z2","l2",-0.463698398503687,4.85199506991777,-0.0955686046300013,0.923863200911202,-3.67089033480481,3.18325945483689
"M4","~","Z3","l3",-0.185844136263383,1.12292661805931,-0.16549980495125,0.868550603342051,-2.54517230779731,0.860972734047304
"M4","~","Z4","l4",-0.483274747502776,0.885377516915193,-0.545840320394162,0.58517570460876,-1.95563431146152,0.064289018183479
"M5","~","Z1","k1",-1.3103687890521,8.90944018748867,-0.147076444925488,0.883071681898479,-9.17835249096716,15.4641377119086
"M5","~","Z2","k2",0.0394313977453614,3.19627977253197,0.0123366540326742,0.99015702388806,-2.04562260224582,2.44792865639854
"M5","~","Z3","k3",0.32809082016226,1.03930879846549,0.315681749877109,0.75224408036839,-0.832411811030246,1.28443736116529
"M5","~","Z4","k4",0.470310875580105,0.821291584785162,0.572647868665465,0.56688314149464,-0.33720731885865,1.12158802179291
"Y","~","M1","m1",-0.0298907240844302,0.494080908711473,-0.0604976301601756,0.951759303252895,-1.07564858785875,0.912769605864987
"Y","~","M2","m2",-0.63976502890078,3.97293880833739,-0.161030677733623,0.872069238601492,-11.8454437348948,2.52108519983871
"Y","~","M3","m3",-0.0622473269571531,1.12101545207558,-0.0555276261731282,0.955718121393706,-2.02448302918228,1.32548331094407
"Y","~","M4","m4",0.175603534249232,1.17820785421972,0.149042916001886,0.881519769059253,-1.05166465340945,0.875657140635569
"Y","~","M5","m5",-0.324188116416624,0.765856403763535,-0.423301437219189,0.672075345830137,-1.27509495195788,0.395219413061546
"Y","~","Z1","c1",6.69751268993691,8.21954188705863,0.814827977272298,0.415170784111771,-9.22867976203347,25.3981149517992
"Y","~","Z2","c2",1.03300951219622,12.6044813711914,0.0819557331852823,0.934681914783266,-9.13874660130636,41.1633335711727
"Y","~","Z3","c3",1.38061311281201,3.19397396045616,0.432255594411556,0.665555657296401,-4.20687546258746,7.16957881346938
"Y","~","Z4","c4",-0.412134878823921,1.76220017348171,-0.233875177761238,0.81508188412512,-4.39228901547368,2.42211165241571
"x1","~~","x1","",0.236342475420619,0.0788055431985873,2.99905902336139,0.00270814837712319,0.0947231177091478,0.406203040499188
"x2","~~","x2","",0.0183146139753815,0.013295931749774,1.3774599870139,0.168370077532522,0.0176174539447919,0.0627670853705583
"x3","~~","x3","",0.0361999595220068,0.0199258942850396,1.81672947794297,0.0692585457609702,0.0180469384581032,0.0853126470369929
"x4","~~","x4","",0.518748417003001,0.308646282234838,1.68072141756207,0.0928170384883442,0.0872616175731451,1.11359529653521
"x5","~~","x5","",0.429521960159307,0.177750967502196,2.41642544170119,0.0156737358263541,0.241428584747578,0.690139115471142
"x6","~~","x6","",0.498912769034472,0.0804840481205366,6.19890252397938,5.68582292359565e-10,0.322069036979997,0.639428303535752
"x7","~~","x7","",0.448466176774313,0.19345538868743,2.31818911748646,0.0204390452142076,0.171517178495667,0.724797863732339
"x9","~~","x9","",0.551797460542104,0.0992703595113991,5.55853190477004,2.72053233274505e-08,0.314180200470758,0.699911200970976
"x10","~~","x10","",0.815229686277028,0.308313715899952,2.64415640380258,0.00818948050567325,0.231101447619819,1.41082757927632
"x11","~~","x11","",0.231935551475327,1.86009796718284,0.124689965564878,0.900769001719304,0.021493389976049,0.369988454860032
"x12","~~","x12","",0.453746095124532,0.318116607885599,1.42635148205688,0.153766911063828,0.266320717936183,0.614796162973869
"x13","~~","x13","",0.1572280630249,0.0630912663095791,2.49207334424715,0.0126999809234882,0.0815186978192485,0.210127346011945
"x14","~~","x14","",0,0,NA,NA,0,0
"x16","~~","x16","",0,0,NA,NA,0,0
"M1","~~","M1","",1.93695423648016,0.700386151293124,2.76555187863717,0.00568265652926092,0.743010679818282,3.13586609668508
"M2","~~","M2","",0.0860411980365204,0.36419466570605,0.236250571846558,0.813238239287845,-0.285942914987061,0.229980880038987
"M3","~~","M3","",0.596265991853902,0.221750284256386,2.68890745215237,0.00716862906420035,0.189017835024485,0.964570994921286
"M4","~~","M4","",0.382739092168077,0.564745134182085,0.677720035113529,0.497949220752889,0.0485778321556304,0.763436313115654
"M5","~~","M5","",0.175789620831629,0.0818746436671723,2.14705814838388,0.0317886526202464,0.0859539443691348,0.238837636107887
"Y","~~","Y","",0.232423901850207,0.884079407813661,0.26289935021221,0.792628157157048,-1.63804980131,1.47435945116176
"Z1","~~","Z1","",0.00392734147150854,0.013438913982106,0.292236521249993,0.770105789847599,-6.99142100927523e-05,0.0452042649212072
"Z2","~~","Z2","",0.0785744512112733,1.86803792741943,0.0420625566847129,0.966448829174977,-0.01168700351431,0.296905402310965
"Z3","~~","Z3","",0.0363118500998438,0.0206528940860468,1.75819669381717,0.0787140476018371,0.0185113511598759,0.0854430752502584
"Z4","~~","Z4","",0.202919318048015,0.0271070155934389,7.48585978963801,7.105427357601e-14,0.140966416029809,0.239243617069985
"Z1","~~","Z2","",0.0170428620972295,0.014431271074944,1.18096749820048,0.237615635119241,-0.000381748219558438,0.0514746407798754
"Z1","~~","Z3","",0.00354713960232047,0.00555678805747018,0.638343511689623,0.523250093627487,-0.00111677296026495,0.0201024464619519
"Z1","~~","Z4","",0.0115618004113369,0.0176426120848039,0.655333822211928,0.512252849212746,-0.0037214500831688,0.0623439051507486
"Z2","~~","Z3","",0.00258220216734626,0.0101175994133402,0.255218857937941,0.798554066720228,-0.0117316757173666,0.0286852960169623
"Z2","~~","Z4","",-0.0100686621788303,0.0302714947109266,-0.332611992733743,0.739427189463918,-0.0711021801361325,0.049581004632605
"Z3","~~","Z4","",-0.0081879830479909,0.0143646513403217,-0.570009174187694,0.568671475728716,-0.0395166012926218,0.0138877568545699
"indirect_alpha_Z1",":=","a1*m1","indirect_alpha_Z1",-0.943805164594717,15.4747142007245,-0.0609901515693603,0.951367052364203,-33.6303369659657,28.3001278073628
"indirect_alpha_Z2",":=","a2*m1","indirect_alpha_Z2",0.163598173073163,11.1126672005751,0.0147217738208426,0.988254148243215,-24.4324519624858,16.3314942712521
"indirect_alpha_Z3",":=","a3*m1","indirect_alpha_Z3",0.0822640387306366,3.5773838723475,0.0229955860668244,0.981653793827981,-8.62295758345246,3.72375944465726
"indirect_alpha_Z4",":=","a4*m1","indirect_alpha_Z4",0.0624532640231756,2.95709328012164,0.0211198153413026,0.98315007806321,-3.7312460760664,5.71084359246772
"indirect_beta_Z1",":=","b1*m2","indirect_beta_Z1",-1.96176880160628,16.6467988301222,-0.117846609526901,0.906189197767709,-18.183233280492,24.4702482493264
"indirect_beta_Z2",":=","b2*m2","indirect_beta_Z2",-0.449686989864144,18.3989604464163,-0.0244408911673992,0.980500931622615,-22.5626782212769,4.767649224459
